ANNI,"Pane_(Kg)","Pasta_(Kg)","Riso_(Kg)","Patate_(Kg)","Carne bovina_(Kg)","Carne suina_(Kg)","Salame_(Kg)","Uova_(pezzo)"
1861,0.00021,0.00031,0.00022,6e-05,0.00045,0.00057,....,3e-05
1862,0.0002,0.00029,0.00021,6e-05,0.00043,0.0006,....,4e-05
1863,0.00019,0.00028,0.0002,6e-05,0.00049,0.00058,....,3e-05
1864,0.00019,0.00027,0.00021,6e-05,0.00046,0.00061,....,3e-05
1865,0.00017,0.00025,0.00022,7e-05,0.00047,0.00061,....,3e-05
1866,0.00019,0.00028,0.00023,8e-05,0.00047,0.00058,....,3e-05
1867,0.00022,0.00032,0.00024,7e-05,0.00049,0.00064,....,3e-05
1868,0.00024,0.00035,0.00024,8e-05,0.00051,0.00074,....,3e-05
1869,0.00021,0.0003,0.00022,6e-05,0.00052,0.00081,....,4e-05
1870,0.00021,0.00031,0.00019,6e-05,0.00053,0.00076,....,4e-05
1871,0.00023,0.00036,0.00023,7e-05,0.00054,0.00076,....,4e-05
1872,0.00026,0.0004,0.00027,6e-05,0.00061,0.00081,....,4e-05
1873,0.00027,0.00044,0.00029,0.0001,0.00068,0.00097,....,4e-05
1874,0.00028,0.00046,0.00029,0.0001,0.00068,0.00098,....,4e-05
1875,0.00022,0.00031,0.00029,6e-05,0.00061,0.00082,....,4e-05
1876,0.00024,0.00032,0.0003,7e-05,0.0006,0.00081,....,4e-05
1877,0.00025,0.00038,0.0003,0.0001,0.00061,0.00086,....,4e-05
1878,0.00024,0.00034,0.00028,8e-05,0.00061,0.00085,....,4e-05
1879,0.00024,0.00034,0.00028,0.0001,0.00061,0.00086,....,4e-05
1880,0.00025,0.00036,0.00028,0.0001,0.00066,0.0009,....,4e-05
1881,0.00022,0.00034,0.00026,9e-05,0.00069,0.00092,....,4e-05
1882,0.00021,0.0003,0.00026,8e-05,0.00067,0.00101,....,4e-05
1883,0.0002,0.00027,0.00026,7e-05,0.00067,0.00088,....,4e-05
1884,0.00018,0.00027,0.00026,7e-05,0.00069,0.00085,....,4e-05
1885,0.00018,0.00027,0.00024,7e-05,0.00068,0.00087,....,4e-05
1886,0.00018,0.00027,0.00024,7e-05,0.00067,0.00087,....,4e-05
1887,0.00019,0.00027,0.00025,7e-05,0.00062,0.00087,....,4e-05
1888,0.00019,0.00027,0.00027,7e-05,0.00064,0.00082,....,4e-05
1889,0.0002,0.00027,0.00028,7e-05,0.00066,0.00082,....,4e-05
1890,0.0002,0.00027,0.00027,7e-05,0.00074,0.00082,0.00127,4e-05
1891,0.0002,0.00027,0.00027,6e-05,0.00077,0.00082,0.00121,4e-05
1892,0.00021,0.00027,0.00028,7e-05,0.00075,0.00082,0.00129,4e-05
1893,0.00019,0.00026,0.00026,5e-05,0.00074,0.00082,0.00129,4e-05
1894,0.00018,0.00025,0.00026,6e-05,0.00072,0.00082,0.00125,4e-05
1895,0.00018,0.00024,0.00026,6e-05,0.00072,0.00082,0.00128,4e-05
1896,0.00018,0.00024,0.00026,8e-05,0.00071,0.00082,0.00129,4e-05
1897,0.00018,0.00026,0.00027,6e-05,0.00069,0.00077,0.00129,4e-05
1898,0.0002,0.00026,0.00027,6e-05,0.00067,0.00077,0.0013,4e-05
1899,0.0002,0.00027,0.00026,6e-05,0.00067,0.00077,0.00125,4e-05
1900,0.0002,0.00026,0.00025,6e-05,0.00067,0.00077,0.00132,4e-05
1901,0.00019,0.00026,0.00025,6e-05,0.00069,0.0008,0.00133,4e-05
1902,0.00019,0.00026,0.00025,6e-05,0.0007,0.0008,0.00134,5e-05
1903,0.00019,0.00024,0.00025,7e-05,0.00069,0.00086,0.00139,5e-05
1904,0.00018,0.00024,0.00024,9e-05,0.00071,0.00094,0.0014,5e-05
1905,0.00018,0.00024,0.00024,7e-05,0.00075,0.00094,0.00144,5e-05
1906,0.00018,0.00024,0.00025,7e-05,0.00076,0.00091,0.00144,5e-05
1907,0.00018,0.00025,0.00025,7e-05,0.00076,0.00086,0.00144,5e-05
1908,0.00018,0.00027,0.00025,8e-05,0.00076,0.00097,0.00153,5e-05
1909,0.00019,0.00027,0.00026,8e-05,0.00083,0.001,0.00152,5e-05
1910,0.0002,0.00027,0.00026,9e-05,0.00083,0.00108,0.00169,5e-05
1911,0.00021,0.00026,0.00025,0.0001,0.00092,0.00105,0.0018,6e-05
1912,0.0002,0.00028,0.00025,9e-05,0.00098,0.00105,0.00179,6e-05
1913,0.00021,0.00028,0.00026,7e-05,0.00091,0.00108,0.00185,6e-05
1914,0.00021,0.00028,0.00025,8e-05,0.00091,....,0.00184,6e-05
1915,0.00025,0.00034,0.00027,8e-05,0.00106,....,0.00195,7e-05
1916,0.00026,0.00041,0.00029,0.0001,0.00145,....,0.0025,9e-05
1917,0.00028,0.00046,0.00038,0.0002,0.00193,....,0.00413,0.00015
1918,0.00033,0.0005,0.00048,0.00037,0.00432,0.00467,0.00869,0.0003
1919,0.00037,0.00056,0.00058,0.00029,0.00434,0.00496,0.00899,0.00025
1920,0.00043,0.00064,0.00076,0.00033,0.00498,0.00574,0.00946,0.00029
1921,0.00073,0.00111,0.00106,0.00042,0.00669,0.00598,0.01073,0.00034
1922,0.00083,0.0012,0.00109,0.00049,0.0063,0.00547,0.01027,0.00034
1923,0.00076,0.00113,0.00118,0.00043,0.00581,0.00557,0.01022,0.00031
1924,0.00079,0.00117,0.00119,0.00041,0.00644,0.00639,0.01057,0.00034
1925,0.00113,0.00157,0.00145,0.00044,0.00701,0.00675,0.01128,0.00037
1926,0.00156,0.00221,0.00215,0.0005,0.00812,0.00624,0.01118,0.00038
1927,0.00128,0.00196,0.00149,0.00048,0.00644,0.00561,0.01045,0.00033
1928,0.00113,0.00169,0.00136,0.00046,0.00548,0.00558,0.01071,0.0003
1929,0.00111,0.00169,0.00138,0.00049,0.00622,0.00591,0.01119,0.00032
1930,0.00114,0.00168,0.0012,0.00036,0.00708,0.0058,0.01111,0.00027
1931,0.00098,0.00151,0.00096,0.00041,0.0058,0.00464,0.00959,0.00024
1932,0.001,0.00149,0.00113,0.00037,0.00496,0.00427,0.00874,0.00021
1933,0.00097,0.00145,0.00107,0.00024,0.00475,0.00448,0.00842,0.00021
1934,0.00086,0.00134,0.00099,0.00026,0.00464,0.00431,0.00781,0.0002
1935,0.00091,0.00136,0.00104,0.00031,0.00475,0.00416,0.00749,0.0002
1936,0.00099,0.00146,0.00113,0.00033,0.00506,0.00431,0.00748,0.00023
1937,0.00107,0.00163,0.00119,0.00031,0.00622,0.00558,0.0085,0.00025
1938,0.00119,0.00158,0.00137,0.00028,0.00644,0.00587,0.00907,0.00026
1939,0.00128,0.00169,0.00144,0.00036,0.00633,0.00512,0.00915,0.00028
1940,0.00139,0.0018,0.00158,0.00051,0.0078,0.00641,0.01058,0.00038
1941,0.00137,0.00208,0.00165,0.00061,0.00928,0.00837,0.01483,0.00059
1942,0.00139,0.00204,0.00166,0.00083,0.0097,0.01023,0.01782,0.00091
1943,0.0015,0.00208,0.0018,0.00111,0.01213,....,0.01838,0.00111
1944,0.0077,0.01486,0.02522,0.01009,0.09606,....,0.2009,0.00757
1945,0.01511,0.02703,0.05629,0.01704,0.17714,....,0.37805,0.01136
1946,0.02324,0.04287,0.08676,0.02014,0.22982,....,0.40542,0.01085
1947,0.04545,0.07798,0.16785,0.02582,0.46068,0.41162,0.6874,0.01756
